200,203,206,209,212,304,384,396,488,527,580,606,609,612,640,672,704,730,732,758,764,796,810,812,814,816,818,820,822,824,888,910,912,980,1000,1072;1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
409,413,417,421,425,429,433,557,566,572,677,681,685,689,693,697,701,711,799,840,850,979;1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,4,1,1,1
366,418,450,515,700,708,796,847,889,975,1028,1070;1,2,1,2,3,4,1,4,1,3,4,1
125,210,309,324,341,463,472,478,535,550,572,590,602,730,748,784,870,878,1009;2,2,2,2,2,2,2,4,2,4,2,2,2,2,2,4,2,2,2
48,208,217,371,427,478,578,684,748,782,801,813,1027;3,3,3,3,3,4,3,4,3,3,4,3,3
503,507,511,515,519,523,527;3,4,3,4,3,4,3
194,199,326,337,377,519,530,556,568,694,699;3,3,3,3,4,4,4,3,3,3,3
113,149,166,190,307,329,333,367,387,485,535,558,571,598,635,701,709,716,817,823,875,902,931;1,1,1,3,1,2,4,2,2,3,2,3,4,2,3,3,2,3,1,2,4,1,1
111,375,395,534,638,645,651,658,665,672,789,960,980;2,2,2,4,2,4,2,2,2,2,4,2,2
61,65,69,73,77,153,157,161,165,216,245,249,253,337,341,369,429,564,581,652,654,656,740,742,744,746,748,828,830,832,834,836,838,840,916,918,920,922,924,926,928,930,932,1004,1006,1008,1010,1012,1014,1016,1018,1020,1022,1024;2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,4,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,153,299,335,349,413,519,574,643,703,740,979;3,4,3,3,4,3,3,3,3,3,4,3
52,91,110,117,175,195,212,324,336,388,440,457,466,535,610,689,740,760,773,798,902,914,968,996,1027;2,2,2,2,3,2,2,2,2,4,2,2,2,2,4,2,2,2,2,4,2,2,2,2,2
64,78,94,100,132,206,241,346,398,413,419,426,522,578,608,641,647,663,671,743,824,839,892,905,963,1000,1016;2,2,2,1,3,2,4,3,1,3,1,3,1,4,4,2,2,3,2,2,1,2,1,2,3,1,2
194,199,205,210,326,337,349,377,519,528,533,556,568,694,699,707,717,891;3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3
107,128,144,166,203,286,366,438,463,470,525,531,565,602,663,729,734,792,831,847,906,911,1006,1022;4,3,2,1,3,1,1,2,2,2,2,2,4,2,2,1,2,3,2,1,3,4,1,1
481,531,554,559,657,686,691,697,754,835,860,872,885,998,1003,1011,1016;3,4,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3
93,151,156,169,221,233,251,327,411,425,441,574,623,646,653,673,683,748,858,878,889,913,917;3,3,1,2,3,1,3,2,2,3,2,1,4,2,4,3,3,1,1,2,2,1,4
145,160,325,333,340,347,472,595,603,610,617,621,783,797,835;1,1,2,3,2,3,4,3,2,3,2,4,1,1,4
132,155,165,186,296,307,331,337,391,414,448,476,528,579,607,659,687,769,801,829,862,869,885,897,956,961,969,982;2,3,3,3,2,2,3,4,2,3,2,2,2,2,3,2,3,2,2,2,2,4,3,2,2,2,2,4
71,92,123,197,221,233,252,326,349,359,375,457,471,489,523,529,597,679,694,706,711,746,808,818,825,929,935,947,1009,1059;4,2,3,2,2,3,2,1,1,1,4,2,3,3,1,4,3,2,2,3,2,1,2,2,1,2,1,3,2,1
231,234,237,245,248,251,259,262,265,319,329,333,343,347,357,407,421,435,449,549,556,563,570,577,584,677,691,705,719,769,779,783,793,797,807,861,864,867,875,878,881,889,892,895;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,228,283,345,366,381,444,463,504,514,537,619,671,688,694,700,859,888,927,1010;1,2,1,3,2,1,2,1,2,4,4,2,1,3,3,3,1,1,4,1
15,50,87,157,205,210,326,343,353,409,476,486,560,572,637,768,777,788,894,923,963,973,1000,1029;1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,2,4,1,1,1,2
